Series Name,Character Name,Dialogue,Context
Dragon Ball Z,Goku,"Frieza, you've caused too much pain. It's time to pay for your crimes!",Goku and Frieza clash in a massive explosion.
Dragon Ball Z,Frieza,You fool! Do you really think you can defeat me?,Frieza laughs maniacally during the battle.
Dragon Ball Z,Vegeta,Why is it always Kakarot who gets to fight the strongest enemies?,Vegeta watches the battle with frustration.
Dragon Ball Z,Piccolo,This planet won't last much longer. We need to find a way to escape.,Piccolo senses the destruction of Namek.
Dragon Ball Z,Gohan,"Dad, please be careful! We need you!",Gohan worries about his father.
Dragon Ball Z,Krillin,Goku's never let us down before. He'll find a way to win.,Krillin tries to stay optimistic.
Dragon Ball Z,Goku,"This is for everyone you've hurt, Frieza. Goodbye!",Goku delivers a final blow to Frieza.
Dragon Ball Z,Frieza,No! This can't be happening! I am Frieza! I cannot be defeated!,Frieza screams in defeat.
Dragon Ball Z,Vegeta,Kakarot... You've done it. You've defeated Frieza.,Vegeta reluctantly admits Goku's victory.
Dragon Ball Z,Piccolo,"Goku, you've saved us all. Thank you.",Piccolo acknowledges Goku's strength.
Dragon Ball Z,Gohan,"Dad, you're amazing! I knew you could do it!",Gohan runs to his father.
Dragon Ball Z,Krillin,"Goku, you're the best! We owe you our lives!",Krillin celebrates Goku's victory.
Dragon Ball Z,Goku,"It's over, but we can't let our guard down. There are always stronger enemies out there.",Goku reflects on the battle.
Dragon Ball Z,Vegeta,"Kakarot, this isn't over. I will become stronger than you. I swear it!",Vegeta vows to surpass Goku.
Dragon Ball Z,Piccolo,"Goku, you've won this battle, but we must prepare for what's to come.",Piccolo warns Goku about future threats.
Dragon Ball Z,Gohan,"Dad, I'll train with you. I want to be strong enough to protect everyone!",Gohan promises to train harder.
Dragon Ball Z,Krillin,"Goku, you really know how to make things exciting, don't you?",Krillin jokes about the intensity of the battle.
Dragon Ball Z,Goku,"Thanks, everyone. We couldn't have done it without teamwork.",Goku laughs and thanks his friends.
Dragon Ball Z,Vegeta,"Hmph. This isn't the end. I will surpass you, Kakarot. Just wait and see.","Vegeta walks away, deep in thought."
Dragon Ball Z,Piccolo,"Gohan, you have great potential. Don't waste it.",Piccolo places a hand on Gohan's shoulder.
Dragon Ball Z,Gohan,"I won't, Piccolo. I'll make everyone proud!",Gohan nods determinedly.
Dragon Ball Z,Krillin,"Well, that was intense. Let's hope we never have to go through something like that again.",Krillin looks at the destroyed landscape.
Dragon Ball Z,Goku,"No matter what happens, we'll face it together. That's what friends are for.",Goku smiles and looks to the future.
